,Characters,Words,AvgWordLen,UniqueWords,Sentences,AvgWordsSentence,Syllables,AvgSyllableWords,RareWordsRatio,LexicalDiversity,label
7674,1096,228,3.9736842105263164,133,39,5.846153846153847,259,1.1359649122807018,0.42105263157894735,0.5833333333333334,Heavy Metal
9541,645,140,3.764285714285714,58,22,6.363636363636362,156,1.1142857142857143,0.17142857142857146,0.4142857142857143,Punk Rock
5937,1065,233,3.6738197424892713,86,39,5.974358974358975,278,1.1931330472103003,0.1888412017167382,0.369098712446352,Heavy Metal
12565,739,141,4.3971631205673765,113,23,6.130434782608695,167,1.1843971631205674,0.6950354609929078,0.8014184397163121,Heavy Metal
2507,1193,212,4.787735849056603,98,36,5.888888888888888,287,1.3537735849056605,0.2688679245283019,0.4622641509433962,Heavy Metal
3147,1040,215,4.009302325581396,128,37,5.8108108108108105,251,1.1674418604651162,0.4465116279069768,0.5953488372093023,Heavy Metal
2069,1219,266,3.62406015037594,94,29,9.172413793103447,283,1.06390977443609,0.18796992481203006,0.3533834586466165,Soft Rock
8328,793,165,3.951515151515152,77,24,6.875,197,1.193939393939394,0.21818181818181814,0.4666666666666667,Punk Rock
2850,882,168,4.363095238095238,81,28,6.0,208,1.238095238095238,0.2976190476190476,0.4821428571428572,Heavy Metal
5763,1994,442,3.671945701357467,161,74,5.972972972972973,487,1.1018099547511313,0.2081447963800905,0.3642533936651584,Punk Rock
4627,730,153,3.934640522875817,65,25,6.12,181,1.1830065359477124,0.1437908496732026,0.4248366013071895,Soft Rock
5328,1974,404,4.064356435643564,121,74,5.45945945945946,478,1.1831683168316829,0.14603960396039606,0.2995049504950495,Punk Rock
250,804,177,3.694915254237288,85,32,5.53125,201,1.1355932203389831,0.3220338983050847,0.48022598870056504,Soft Rock
6396,541,108,4.194444444444445,17,20,5.4,125,1.1574074074074074,0.04629629629629629,0.1574074074074074,Punk Rock
5370,819,128,5.6640625,64,35,3.6571428571428566,211,1.6484375,0.1328125,0.5,Heavy Metal
6394,1850,395,3.812658227848101,109,57,6.9298245614035086,436,1.1037974683544305,0.11139240506329114,0.2759493670886076,Punk Rock
9105,1004,235,3.404255319148936,115,32,7.34375,256,1.0893617021276596,0.32340425531914896,0.4893617021276596,Punk Rock
1657,810,151,4.596026490066224,82,37,4.081081081081081,204,1.3509933774834435,0.3509933774834437,0.543046357615894,Heavy Metal
9958,897,193,3.7150259067357516,84,24,8.041666666666666,218,1.1295336787564767,0.2383419689119171,0.4352331606217617,Soft Rock
9892,470,105,3.5904761904761906,50,12,8.75,105,1.0,0.2761904761904762,0.4761904761904762,Heavy Metal
4437,807,163,4.104294478527606,93,28,5.821428571428571,187,1.1472392638036808,0.3496932515337423,0.5705521472392638,Heavy Metal
10697,945,211,3.6113744075829386,76,28,7.5357142857142865,220,1.042654028436019,0.20853080568720375,0.36018957345971564,Soft Rock
9915,1027,204,4.215686274509804,82,37,5.513513513513512,242,1.1862745098039216,0.2696078431372549,0.4019607843137255,Soft Rock
1550,715,148,3.8243243243243237,78,30,4.933333333333334,167,1.1283783783783785,0.2905405405405405,0.527027027027027,Punk Rock
7722,821,191,3.592391304347826,64,28,6.821428571428571,210,1.099476439790576,0.1518324607329843,0.33507853403141363,Heavy Metal
3801,1400,304,3.736842105263158,101,43,7.069767441860465,353,1.1611842105263157,0.17105263157894735,0.3322368421052632,Punk Rock
12330,1129,231,3.991341991341992,104,33,7.0,273,1.181818181818182,0.2597402597402597,0.45021645021645024,Punk Rock
8609,883,191,3.827225130890053,119,39,4.897435897435898,215,1.12565445026178,0.450261780104712,0.6230366492146597,Punk Rock
8351,1113,242,3.7024793388429753,112,32,7.5625,277,1.1446280991735538,0.21074380165289253,0.4628099173553719,Punk Rock
10691,1144,228,4.021929824561403,112,36,6.333333333333332,262,1.149122807017544,0.3157894736842105,0.4912280701754386,Soft Rock
230,1239,253,4.1067193675889335,115,53,4.773584905660377,302,1.1936758893280632,0.2806324110671937,0.4545454545454545,Soft Rock
125,887,176,4.125,89,18,9.777777777777779,211,1.1988636363636365,0.3693181818181818,0.5056818181818182,Heavy Metal
7165,1117,217,4.387096774193549,77,52,4.173076923076923,283,1.304147465437788,0.17972350230414744,0.3548387096774194,Heavy Metal
12170,484,111,3.5405405405405403,51,21,5.285714285714286,119,1.072072072072072,0.3153153153153153,0.4594594594594595,Punk Rock
8666,1178,257,3.785992217898833,122,58,4.431034482758621,298,1.1595330739299612,0.2801556420233463,0.4747081712062257,Punk Rock
3348,714,148,4.027027027027027,71,31,4.774193548387096,163,1.101351351351351,0.25675675675675674,0.4797297297297297,Heavy Metal
6479,811,172,3.8837209302325584,82,36,4.777777777777779,199,1.1569767441860466,0.313953488372093,0.4767441860465117,Heavy Metal
12016,1543,326,3.8312883435582816,103,57,5.719298245614035,382,1.1717791411042944,0.1840490797546012,0.3159509202453988,Heavy Metal
12536,1174,225,4.2444444444444445,124,40,5.625,262,1.1644444444444444,0.4,0.5511111111111111,Heavy Metal
8180,914,186,4.043010752688172,120,24,7.75,217,1.1666666666666667,0.5,0.6451612903225806,Punk Rock
6714,1056,211,4.180094786729858,109,40,5.275,262,1.2417061611374407,0.3649289099526066,0.5165876777251185,Heavy Metal
2280,1068,231,3.727272727272727,77,40,5.775,260,1.1255411255411256,0.1774891774891775,0.3333333333333333,Heavy Metal
11192,977,219,3.589041095890411,111,30,7.3,233,1.0639269406392695,0.31963470319634696,0.5068493150684932,Punk Rock
8807,552,117,3.9145299145299135,53,24,4.875,127,1.0854700854700854,0.17094017094017094,0.45299145299145294,Heavy Metal
7142,880,173,4.219653179190751,71,23,7.521739130434782,196,1.1329479768786128,0.3005780346820809,0.4104046242774567,Punk Rock
7400,709,151,3.9337748344370866,62,36,4.194444444444445,178,1.1788079470198676,0.2119205298013245,0.4105960264900662,Heavy Metal
1467,873,192,3.7604166666666665,71,45,4.266666666666667,195,1.015625,0.20833333333333331,0.3697916666666667,Punk Rock
6558,623,116,4.517241379310344,83,18,6.4444444444444455,140,1.206896551724138,0.5862068965517241,0.7155172413793104,Heavy Metal
8241,710,139,4.215827338129497,97,21,6.6190476190476195,172,1.237410071942446,0.5539568345323741,0.6978417266187049,Punk Rock
83,943,200,3.945,81,46,4.3478260869565215,238,1.19,0.19,0.405,Heavy Metal
4118,728,164,3.6073619631901837,82,24,6.833333333333332,170,1.0365853658536586,0.32926829268292684,0.5,Heavy Metal
10390,884,188,3.6808510638297873,115,20,9.4,211,1.122340425531915,0.4574468085106383,0.6117021276595744,Heavy Metal
